STATE,NationalServiceLifeInsurance,Service-DisabledVeteransInsurance,UnitedStatesGovernmentLifeInsurance,VeteransMortgageLifeInsurance,VeteransReopenedInsurance,VeteransSpecialLifeInsurance,Total
Nevada,"53,004,195.00","20,498,110.00","89,500.00","929,905.00","1,836,266.00","13,530,137.00","89,888,113.00"
New Hampshire,"45,431,133.00","10,545,500.00","40,000.00","1,590,199.00","1,469,931.00","12,866,040.00","71,942,803.00"
New Jersey,"265,683,333.00","42,744,666.00","136,500.00","1,090,606.00","17,008,731.00","102,491,552.00","429,155,388.00"
New Mexico,"56,819,132.00","33,997,500.00","80,500.00","1,409,183.00","1,485,568.00","12,536,620.00","106,328,503.00"
New York,"504,142,209.00","86,434,773.00","168,967.00","4,956,394.00","30,909,734.00","178,700,256.00","805,312,333.00"
North Carolina,"205,132,744.00","117,892,545.00","219,540.00","8,782,897.00","6,260,070.00","58,614,238.00","396,902,034.00"
North Dakota,"20,365,758.00","5,862,000.00","26,000.00","552,015.00","855,970.00","5,886,745.00","33,548,488.00"
Northern Mariana Islands,   ,"80,000.00",   ,   ,   ,   ,"80,000.00"
Ohio,"303,794,578.00","66,400,598.00","94,500.00","5,999,035.00","11,538,757.00","82,714,927.00","470,542,395.00"
Oklahoma,"82,208,325.00","61,664,486.00","90,000.00","3,540,661.00","2,337,944.00","16,522,502.00","166,363,918.00"
Oregon,"112,581,321.00","34,175,110.00","229,000.00","2,854,999.00","2,454,070.00","24,201,494.00","176,495,994.00"
Pennsylvania,"433,225,278.00","82,331,789.00","172,000.00","3,736,417.00","18,547,189.00","126,323,574.00","664,336,247.00"
Puerto Rico,"10,318,339.00","21,794,828.00","10,000.00","1,207,857.00","1,271,617.00","2,079,929.00","36,682,570.00"
Rhode Island,"33,021,249.00","6,980,822.00","19,500.00","403,379.00","1,903,341.00","9,917,569.00","52,245,860.00"
South Carolina,"113,422,359.00","68,296,777.00","101,000.00","3,243,006.00","2,793,960.00","29,311,792.00","217,168,894.00"
South Dakota,"26,515,708.00","8,471,000.00","26,174.00","323,432.00","1,027,886.00","9,167,783.00","45,531,983.00"
Tennessee,"122,060,970.00","56,886,911.00","125,500.00","7,856,103.00","4,260,321.00","32,188,678.00","223,378,483.00"
Texas,"478,440,728.00","215,440,813.00","590,547.00","22,638,044.00","11,031,403.00","99,226,127.00","827,367,662.00"
Utah,"58,352,198.00","9,797,090.00","93,000.00","1,350,000.00","1,928,328.00","13,716,779.00","85,237,395.00"
Vermont,"19,171,320.00","3,556,000.00","27,000.00","447,895.00","516,319.00","5,624,989.00","29,343,523.00"
Virgin Islands,"553,290.00","371,000.00",   ,   ,"5,000.00","270,631.00","1,199,921.00"
Virginia,"252,424,373.00","71,274,175.00","412,669.00","5,443,974.00","5,481,246.00","49,161,245.00","384,197,682.00"
Washington,"194,426,215.00","47,042,617.00","483,000.00","6,401,898.00","4,732,690.00","36,895,498.00","289,981,918.00"
West Virginia,"37,887,078.00","29,168,133.00","38,000.00","1,970,111.00","1,450,357.00","12,261,108.00","82,774,787.00"
Wisconsin,"183,643,811.00","42,363,104.00","84,500.00","4,223,416.00","6,178,342.00","55,020,210.00","291,513,383.00"
Wyoming,"16,003,871.00","3,684,500.00","11,000.00","596,599.00","442,683.00","4,105,758.00","24,844,411.00"
Total,"8,247,025,144.00","2,319,804,921.00","8,313,432.00","195,019,958.00","284,763,049.00","2,227,718,988.00","13,282,645,492.00"
